,Date,Agas,Almas,Aminyekom,Asam,Asas,Atimes,Atlas,Bazr,Firouze,Ofogmellat
221,13990719,73175.12,117875.51,10389.12,103922.09,164840.67,218190.17,198604.39,113262.51,188949.04,141971.16
222,13990720,75520.41,120950.56,10379.12,105944.21,168096.98,224079.72,204432.34,117138.12,193512.08,145938.09
223,13990721,73533.21,117332.91,10379.12,107078.76,164409.11,218979.05,203016.33,115166.49,187929.63,142487.74
224,13990722,73394.5,115581.23,10399.13,107127.96,163489.11,218826.77,202652.95,114209.66,187784.0,142741.16
225,13990723,71956.24,115257.59,10409.14,106296.48,163530.3,216551.51,200888.37,112817.92,185987.91,141863.95
226,13990727,68581.94,113918.86,10409.14,103460.6,158400.64,210932.13,196990.89,109473.88,180444.29,138208.92
227,13990728,63880.54,111931.9,10409.14,101188.54,150834.63,192567.95,188054.45,104438.49,171075.48,131113.28
228,13990729,62725.61,114115.74,10409.14,99605.29,146861.35,186771.74,180437.24,101316.74,165580.4,125528.4
229,13990730,66041.87,116417.7,10399.13,101547.7,154275.33,195419.89,188789.11,104477.15,169327.93,130928.1
230,13990803,62213.07,110528.82,10218.97,98729.53,148697.44,188215.88,179531.74,100456.57,158483.41,124963.08
231,13990805,60166.84,107736.12,10218.97,97164.97,145540.19,179908.63,173111.32,98533.26,152172.81,119621.87
232,13990806,59682.83,105988.28,10208.97,95776.55,141802.31,179368.3,172206.82,97151.18,147153.46,115401.52
233,13990807,60371.47,104078.14,10208.97,95272.74,141954.33,179017.58,172091.29,97363.81,146551.52,113091.54
234,13990810,63818.57,107634.32,10218.97,96661.17,147410.61,185334.47,178833.61,100379.25,154153.37,119290.48
235,13990811,61549.03,105700.17,10219.98,94902.76,145437.21,179118.77,173383.86,96329.67,148541.79,114865.45
236,13990812,61032.55,105548.44,10220.98,94441.26,146741.69,177472.25,172375.67,94638.32,145085.52,114309.89
237,13990814,64370.46,106609.63,10215.97,95495.13,150681.63,185384.58,179431.02,98156.33,153269.88,120411.35
238,13990817,59701.53,103731.45,10219.98,93422.82,143071.48,171208.41,168257.01,93062.95,140677.81,113130.53
239,13990818,56275.08,101682.06,10231.99,91493.2,134558.99,164869.9,162514.97,90163.49,127852.73,104485.16
240,13990819,58219.0,102032.59,10237.99,91507.96,135936.05,169246.54,165990.8,91719.53,132134.23,107116.78
241,13990820,59778.26,100683.29,10244.0,91919.27,141261.88,172486.52,168983.77,92405.74,136027.38,112282.56
242,13990821,60282.93,102105.57,10248.0,92633.66,143950.29,181007.94,169246.43,93062.95,140580.72,117925.93
243,13990824,63688.71,105308.35,10259.01,95345.56,151452.55,189194.36,176698.74,96948.22,152017.47,128199.01
